userID,productID,rating
AO94DHGC771SJ,0528881469,5.0
AMO214LNFCEI4,0528881469,1.0
A3N7T0DY83Y4IG,0528881469,3.0
A1H8PY3QHMQQA0,0528881469,2.0
A24EV6RXELQZ63,0528881469,1.0
A2JXAZZI9PHK9Z,0594451647,5.0
A2P5U7BDKKT7FW,0594451647,2.0
AAZ084UMH8VZ2,0594451647,5.0
AEZ3CR6BKIROJ,0594451647,4.0
A3BY5KCNQZXV5U,0594451647,5.0
A7S2B0I67WNWB,0594481813,4.0
A3HICVLF4PFFMN,0594481813,5.0
ANSKSPEEAKY7S,0594481813,5.0
A2QBZA4S1ROX9Q,0594481813,3.0
ANY6JUFM0GH8U,0594481813,5.0
AT09WGFUM934H,0594481813,3.0
AGAKHE014LQFU,0594481813,3.0
A1S6B5QFWGVL5U,0594481813,4.0
A20XXTXWF2TCPY,0972683275,5.0
A2IDCSC6NVONIZ,0972683275,5.0
A1EDI0X3GI1SK7,0972683275,5.0
A3BMUBUC1N77U8,0972683275,4.0
AVRFGGCCCR6QU,0972683275,4.0
A3UOSOCRKS3WIH,0972683275,5.0
A371ZZ95ZQEIZV,0972683275,4.0
A7060R14RJF3I,0972683275,4.0
A26QCCO0101CO1,0972683275,5.0
APBF796U7GUTV,0972683275,5.0
A2HLNXOYLMERTC,0972683275,5.0
A3CCITVF0WL6KE,0972683275,5.0
AYQNWE3AX4H08,0972683275,5.0
A3P24ZSF9IQRJJ,0972683275,5.0
A1JI3XL5ME8CWM,0972683275,4.0
AQBLWW13U66XD,0972683275,5.0
AUKEU9CW56TT4,0972683275,5.0
A23A7OH3AM0PDA,0972683275,4.0
A12AU3CNAWYO5D,0972683275,5.0
A5O0P0JV6PLU3,0972683275,5.0
A27X48PMUGK6U4,0972683275,5.0
A2KQDWZZUBBNOJ,0972683275,4.0
A27XULAA9X5ZGQ,0972683275,5.0
A3IIGCFLKVFW8M,0972683275,5.0
A20VSTDILG9K7H,0972683275,4.0
A3VKO21KYDJQ2W,0972683275,3.0
A1MSO6LERG39PC,0972683275,5.0
A20Q4FIBCAG2ZV,0972683275,5.0
A1980MGZXSGJP,0972683275,5.0
A1GLL5CJ1SFAMS,0972683275,5.0
A2683OJ85CLWFA,0972683275,5.0
A3M6S7Y1FNPOLD,0972683275,3.0
AOU1TM9UA1BZF,0972683275,5.0
A3S5643F4JNLQQ,0972683275,5.0
AJIA55AVU0CUS,0972683275,4.0
A3C51ESBUD8QAJ,0972683275,4.0
A3IC6OB22INS9,0972683275,4.0
A3ISZ8KLXYYI7P,0972683275,5.0
A3QH8VQDE7HZCR,0972683275,5.0
A6J8D9V5S9MBE,0972683275,5.0
A39Z4OU2C7ENWH,0972683275,3.0
A2E5IK9TUH8UPD,0972683275,4.0
AEQR0VUFBZXUY,0972683275,5.0
A13BWQDECDDVIZ,0972683275,4.0
A12XCRHPREC51Y,0972683275,4.0
A3QPJS71FU70MX,0972683275,4.0
A2A3B0JX2JRS6S,0972683275,5.0
A1ZPEZMQBCTZQN,0972683275,4.0
A2OGXHE7PVLTOE,0972683275,4.0
A3OYE7X2O08LNT,0972683275,4.0
A2LR9WP2JGDT8E,0972683275,2.0
A18FTRFQQ141CP,0972683275,5.0
A1XEYWWDJ09OEA,0972683275,4.0
A2JMN2JA9LSHVL,0972683275,1.0
A3ATF868IEP191,0972683275,4.0
A14O9P3DV5EHKO,0972683275,3.0
AVHB9LLVCTEKY,0972683275,5.0
A2GPNXFUUV51ZZ,0972683275,5.0
A3CLWR1UUZT6TG,0972683275,5.0
